Product Id,Product Category Id,Product Name,Product Price,Category Name
1360,73,Smart watch ,327.75,Sporting Goods
365,17,Perfect Fitness Perfect Rip Deck,59.99000168,Cleats
364,17,Total Gym 1400,299.9899902,Cleats
627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,Shop By Sport
642,29,Columbia Men's PFG Anchor Tough T-Shirt,30.0,Shop By Sport
625,29,Nike Men's Kobe IX Elite Low Basketball Shoe,199.9900055,Shop By Sport
502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,Women's Apparel
278,13,Under Armour Men's Compression EV SL Slide,44.99000168,Electronics
273,13,Under Armour Kids' Mercenary Slide,27.98999977,Electronics
282,13,Under Armour Women's Ignite PIP VI Slide,31.98999977,Electronics
276,13,Under Armour Women's Ignite Slide,31.98999977,Electronics
249,12,Under Armour Women's Micro G Skulpt Running S,54.97000122,Boxing & MMA
251,12,Brooks Women's Ghost 6 Running Shoe,89.98999786,Boxing & MMA
258,12,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786,Boxing & MMA
191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,Cardio Equipment
172,9,Nike Women's Tempo Shorts,30.0,Cardio Equipment
917,41,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,Trade-In
924,41,Glove It Urban Brick Golf Towel,15.98999977,Trade-In
926,41,Glove It Imperial Golf Towel,15.98999977,Trade-In
607,41,Garmin Approach S3 Golf GPS Watch,249.9900055,Trade-In
828,37,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,Electronics
818,37,Titleist Pro V1x Golf Balls,47.99000168,Electronics
825,37,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,Electronics
822,37,Titleist Pro V1x High Numbers Golf Balls,47.99000168,Electronics
835,37,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,Electronics
823,37,Titleist Pro V1x High Numbers Personalized Go,51.99000168,Electronics
821,37,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,Electronics
306,38,Polar FT4 Heart Rate Monitor,89.98999786,Kids' Golf Clubs
305,38,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,Kids' Golf Clubs
311,38,Polar Loop Activity Tracker,109.9499969,Kids' Golf Clubs
303,38,Garmin Forerunner 910XT GPS Watch,399.9899902,Kids' Golf Clubs
845,38,Garmin Approach S4 Golf GPS Watch,299.9899902,Kids' Golf Clubs
295,38,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,Kids' Golf Clubs
858,38,GolfBuddy VT3 GPS Watch,199.9900055,Kids' Golf Clubs
860,38,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902,Kids' Golf Clubs
977,44,ENO Atlas Hammock Straps,29.98999977,Hunting & Shooting
981,44,The North Face Women's Recon Backpack,99.0,Hunting & Shooting
982,44,insta-bed Neverflat Air Mattress,149.9900055,Hunting & Shooting
44,3,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,Baseball & Softball
37,3,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,Baseball & Softball
35,3,adidas Brazuca 2014 Official Match Ball,159.9900055,Baseball & Softball
403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,Men's Footwear
957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,Camping & Hiking
1352,65,Industrial consumer electronics,252.8800049,Consumer Electronics
1349,62,Web Camera,452.0400085,Cameras 
1351,64,Dell Laptop,1500.0,Computers
60,4,SOLE E25 Elliptical,999.9899902,Basketball
58,4,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,Basketball
61,4,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902,Basketball
24,2,Elevation Training Mask 2.0,79.98999786,Soccer
19,2,Nike Men's Fingertrap Max Training Shoe,124.9899979,Soccer
567,26,adidas Men's Germany Black Crest Away Tee,25.0,Girls' Apparel
564,26,Nike Men's Deutschland Weltmeister Winners Bl,30.0,Girls' Apparel
565,26,adidas Youth Germany Black/Red Away Match Soc,70.0,Girls' Apparel
572,26,TYR Boys' Team Digi Jammer,39.99000168,Girls' Apparel
893,40,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,Accessories
905,40,Team Golf Texas Longhorns Putter Grip,24.98999977,Accessories
885,40,Team Golf St. Louis Cardinals Putter Grip,24.98999977,Accessories
906,40,Team Golf Tennessee Volunteers Putter Grip,24.98999977,Accessories
886,40,Team Golf San Francisco Giants Putter Grip,24.98999977,Accessories
897,40,Team Golf New England Patriots Putter Grip,24.98999977,Accessories
1363,76,Summer dresses,215.8200073,Women's Clothing
1353,66,Porcelain crafts,461.480011,Crafts
1357,70,Men's gala suit,210.8500061,Men's Clothing
116,6,Nike Men's Comfort 2 Slide,44.99000168,Tennis & Racquet
235,11,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,Fitness Accessories
226,11,Bowflex SelectTech 1090 Dumbbells,599.9899902,Fitness Accessories
359,16,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,As Seen on  TV!
804,36,Glove It Women's Imperial Golf Glove,19.98999977,Golf Balls
810,36,Glove It Women's Mod Oval Golf Glove,19.98999977,Golf Balls
797,36,Hirzl Women's Soffft Flex Golf Glove,17.98999977,Golf Balls
793,36,Hirzl Women's Hybrid Golf Glove,14.98999977,Golf Balls
792,36,Hirzl Men's Hybrid Golf Glove,14.98999977,Golf Balls
203,10,GoPro HERO3+ Black Edition Camera,399.9899902,Strength Training
216,10,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,Strength Training
208,10,SOLE E35 Elliptical,1999.98999,Strength Training
1350,63,Children's heaters,357.1000061,Children's Clothing
93,5,Under Armour Men's Tech II T-Shirt,24.98999977,Lacrosse
78,5,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,Lacrosse
1347,60,Baby sweater,59.08000183,Baby 
1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,Fishing
1346,59,Sports Books ,31.07999992,Books 
1354,67,DVDs ,164.3800049,DVDs
1348,61,CDs of rock,11.28999996,CDs 
1355,68,Lawn mower,532.5800171,Garden
135,7,Nike Dri-FIT Crew Sock 6 Pack,22.0,Hockey
134,7,Nike Women's Legend V-Neck T-Shirt,25.0,Hockey
127,7,Stiga Master Series ST3100 Competition Indoor,329.9899902,Hockey
1359,72,Adult dog supplies,84.40000153,Pet Supplies
1356,69,First aid kit,293.0400085,Health and Beauty
1358,71,Rock music,260.6499939,Music
1362,75,Fighting video games,39.75,Video Games
786,35,TaylorMade 2014 Purelite Stand Bag,179.9900055,Golf Gloves
778,35,Bag Boy Beverage Holder,24.98999977,Golf Gloves
777,35,Bag Boy M330 Push Cart,79.98999786,Golf Gloves
775,35,Clicgear 8.0 Shoe Brush,9.989999771,Golf Gloves
773,35,Titleist Small Wheeled Travel Cover,249.9900055,Golf Gloves
771,35,Clicgear Rovic Cooler Bag,39.99000168,Golf Gloves
768,35,Titleist Club Glove Travel Cover,299.9899902,Golf Gloves
743,34,Ogio Race Golf Shoes,169.9900055,Golf Bags & Carts
730,33,LIJA Women's Argyle Golf Polo,80.0,Golf Shoes
728,33,LIJA Women's Eyelet Sleeveless Golf Polo,65.0,Golf Shoes
725,33,LIJA Women's Button Golf Dress,108.0,Golf Shoes
724,33,LIJA Women's Mid-Length Panel Golf Shorts,100.0,Golf Shoes
715,32,TaylorMade Women's RBZ SL Rescue,129.9900055,Golf Apparel
705,32,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.9899979,Golf Apparel
703,32,Top Flite Women's 2014 XL Hybrid,19.98999977,Golf Apparel
691,31,MDGolf Pittsburgh Penguins Putter,79.98999786,Women's Golf Clubs
677,31,TaylorMade White Smoke IN-12 Putter,99.98999786,Women's Golf Clubs
671,31,Cleveland Golf Collegiate My Custom Wedge 588,209.9900055,Women's Golf Clubs
666,30,Merrell Men's All Out Flash Trail Running Sho,109.9899979,Men's Golf Clubs
652,30,Merrell Women's Grassbow Sport Waterproof Hik,129.9900055,Men's Golf Clubs
647,30,Merrell Women's Siren Mid Waterproof Hiking B,134.9900055,Men's Golf Clubs
646,30,Merrell Women's Grassbow Sport Hiking Shoe,99.98999786,Men's Golf Clubs
1361,74,Toys ,11.53999996,Toys
1073,48,Pelican Sunstream 100 Kayak,199.9900055,Water Sports
1059,48,Pelican Maverick 100X Kayak,349.9899902,Water Sports
1014,46,O'Brien Men's Neoprene Life Vest,49.97999954,Indoor/Outdoor Games
